#################### ENEMIES ####################
AVAILABLE ENEMIES ->: 
	FireBug.tscn,LeafBug.tscn

FORMAT ->:
	["Enemy.tscn", (amount), (time between spawns), (time from wavestart until first enemy spawn), (last?)]
	#Enemies are spawned from left to right.

#################### WAVE DATA ####################
1;["FireBug.tscn",20,0.4,0,true]
2;["FireBug.tscn",30,0.35,0,true]
21;["FireBug.tscn",200,0.13,0,false];["LeafBug.tscn",36,0.7,6,true]
22;["FireBug.tscn",210,0.13,0,false];["LeafBug.tscn",38,0.65,6,true]
23;["FireBug.tscn",220,0.12,0,false];["LeafBug.tscn",40,0.65,6,true]
24;["FireBug.tscn",230,0.12,0,false];["LeafBug.tscn",42,0.6,6,true]
25;["LeafBug.tscn",50,0.6,0,false];["MagmaCrab.tscn",5,3.5,10,true]

26;["FireBug.tscn",240,0.11,0,false];["LeafBug.tscn",44,0.6,6,true]
27;["FireBug.tscn",250,0.11,0,false];["LeafBug.tscn",46,0.55,6,true]
28;["FireBug.tscn",260,0.1,0,false];["LeafBug.tscn",48,0.55,6,true]
29;["FireBug.tscn",270,0.1,0,false];["LeafBug.tscn",50,0.5,6,true]
30;["LeafBug.tscn",60,0.5,0,false];["MagmaCrab.tscn",6,3.5,10,true]

31;["FireBug.tscn",280,0.1,0,false];["LeafBug.tscn",52,0.5,6,true]
32;["FireBug.tscn",290,0.095,0,false];["LeafBug.tscn",54,0.5,6,true]
33;["FireBug.tscn",300,0.095,0,false];["LeafBug.tscn",56,0.45,6,true]
34;["FireBug.tscn",310,0.09,0,false];["LeafBug.tscn",58,0.45,6,true]
35;["LeafBug.tscn",70,0.45,0,false];["MagmaCrab.tscn",7,3,10,true]

36;["FireBug.tscn",320,0.09,0,false];["LeafBug.tscn",60,0.45,6,true]
37;["FireBug.tscn",330,0.085,0,false];["LeafBug.tscn",62,0.4,6,true]
38;["FireBug.tscn",340,0.085,0,false];["LeafBug.tscn",64,0.4,6,true]
39;["FireBug.tscn",350,0.08,0,false];["LeafBug.tscn",66,0.4,6,true]
40;["LeafBug.tscn",80,0.4,0,false];["MagmaCrab.tscn",8,3,10,true]

41;["FireBug.tscn",360,0.08,0,false];["LeafBug.tscn",68,0.4,6,true]
42;["FireBug.tscn",370,0.075,0,false];["LeafBug.tscn",70,0.38,6,true]
43;["FireBug.tscn",380,0.075,0,false];["LeafBug.tscn",72,0.38,6,true]
44;["FireBug.tscn",390,0.07,0,false];["LeafBug.tscn",74,0.36,6,true]
45;["LeafBug.tscn",90,0.36,0,false];["MagmaCrab.tscn",9,2.8,10,true]

46;["FireBug.tscn",400,0.07,0,false];["LeafBug.tscn",76,0.36,6,true]
47;["FireBug.tscn",420,0.065,0,false];["LeafBug.tscn",78,0.34,6,true]
48;["FireBug.tscn",440,0.065,0,false];["LeafBug.tscn",80,0.34,6,true]
49;["FireBug.tscn",460,0.06,0,false];["LeafBug.tscn",82,0.32,6,true]
50;["LeafBug.tscn",100,0.32,0,false];["Scorpion.tscn",1,6,12,true]

51;["FireBug.tscn",480,0.06,0,false];["LeafBug.tscn",84,0.32,6,true]
52;["FireBug.tscn",500,0.055,0,false];["LeafBug.tscn",86,0.3,6,true]
53;["FireBug.tscn",520,0.055,0,false];["LeafBug.tscn",88,0.3,6,true]
54;["FireBug.tscn",540,0.05,0,false];["LeafBug.tscn",90,0.28,6,true]
55;["LeafBug.tscn",110,0.28,0,false];["MagmaCrab.tscn",10,2.5,10,true]

56;["FireBug.tscn",560,0.05,0,false];["LeafBug.tscn",92,0.28,6,true]
57;["FireBug.tscn",580,0.048,0,false];["LeafBug.tscn",94,0.26,6,true]
58;["FireBug.tscn",600,0.048,0,false];["LeafBug.tscn",96,0.26,6,true]
59;["FireBug.tscn",620,0.045,0,false];["LeafBug.tscn",98,0.24,6,true]
60;["LeafBug.tscn",120,0.24,0,false];["Scorpion.tscn",2,6,12,true]

61;["FireBug.tscn",640,0.045,0,false];["LeafBug.tscn",100,0.24,6,true]
62;["FireBug.tscn",660,0.043,0,false];["LeafBug.tscn",102,0.23,6,true]
63;["FireBug.tscn",680,0.043,0,false];["LeafBug.tscn",104,0.23,6,true]
64;["FireBug.tscn",700,0.04,0,false];["LeafBug.tscn",106,0.22,6,true]
65;["LeafBug.tscn",130,0.22,0,false];["MagmaCrab.tscn",12,2.3,10,true]

66;["FireBug.tscn",720,0.04,0,false];["LeafBug.tscn",108,0.22,6,true]
67;["FireBug.tscn",740,0.038,0,false];["LeafBug.tscn",110,0.21,6,true]
68;["FireBug.tscn",760,0.038,0,false];["LeafBug.tscn",112,0.21,6,true]
69;["FireBug.tscn",780,0.035,0,false];["LeafBug.tscn",114,0.2,6,true]
70;["LeafBug.tscn",140,0.2,0,false];["Scorpion.tscn",3,6,12,true]

71;["FireBug.tscn",800,0.035,0,false];["LeafBug.tscn",116,0.2,6,true]
72;["FireBug.tscn",820,0.033,0,false];["LeafBug.tscn",118,0.19,6,true]
73;["FireBug.tscn",840,0.033,0,false];["LeafBug.tscn",120,0.19,6,true]
74;["FireBug.tscn",860,0.03,0,false];["LeafBug.tscn",122,0.18,6,true]
75;["LeafBug.tscn",150,0.18,0,false];["MagmaCrab.tscn",14,2.0,10,true]

76;["FireBug.tscn",880,0.03,0,false];["LeafBug.tscn",124,0.18,6,true]
77;["FireBug.tscn",900,0.028,0,false];["LeafBug.tscn",126,0.17,6,true]
78;["FireBug.tscn",920,0.028,0,false];["LeafBug.tscn",128,0.17,6,true]
79;["FireBug.tscn",940,0.025,0,false];["LeafBug.tscn",130,0.16,6,true]
80;["LeafBug.tscn",160,0.16,0,false];["Scorpion.tscn",4,6,12,true]

81;["FireBug.tscn",960,0.025,0,false];["LeafBug.tscn",132,0.16,6,true]
82;["FireBug.tscn",980,0.023,0,false];["LeafBug.tscn",134,0.15,6,true]
83;["FireBug.tscn",1000,0.023,0,false];["LeafBug.tscn",136,0.15,6,true]
84;["FireBug.tscn",1020,0.02,0,false];["LeafBug.tscn",138,0.14,6,true]
85;["LeafBug.tscn",170,0.14,0,false];["MagmaCrab.tscn",16,1.8,10,true]

86;["FireBug.tscn",1040,0.02,0,false];["LeafBug.tscn",140,0.14,6,true]
87;["FireBug.tscn",1060,0.019,0,false];["LeafBug.tscn",142,0.13,6,true]
88;["FireBug.tscn",1080,0.019,0,false];["LeafBug.tscn",144,0.13,6,true]
89;["FireBug.tscn",1100,0.018,0,false];["LeafBug.tscn",146,0.12,6,true]
90;["LeafBug.tscn",180,0.12,0,false];["Scorpion.tscn",5,6,12,true]

91;["FireBug.tscn",1120,0.018,0,false];["LeafBug.tscn",148,0.12,6,true]
92;["FireBug.tscn",1140,0.017,0,false];["LeafBug.tscn",150,0.11,6,true]
93;["FireBug.tscn",1160,0.017,0,false];["LeafBug.tscn",152,0.11,6,true]
94;["FireBug.tscn",1180,0.016,0,false];["LeafBug.tscn",154,0.1,6,true]
95;["LeafBug.tscn",190,0.1,0,false];["MagmaCrab.tscn",18,1.6,10,true]

96;["FireBug.tscn",1200,0.016,0,false];["LeafBug.tscn",156,0.1,6,true]
97;["FireBug.tscn",1220,0.015,0,false];["LeafBug.tscn",158,0.095,6,true]
98;["FireBug.tscn",1240,0.015,0,false];["LeafBug.tscn",160,0.095,6,true]
99;["FireBug.tscn",1260,0.014,0,false];["LeafBug.tscn",162,0.09,6,true]
100;["LeafBug.tscn",200,0.09,0,false];["Scorpion.tscn",6,6,12,true]
